production_type,name,installed_capacity,unit_type
HYDRO_WATER_RESERVOIR,BORT 1,118,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BORT 2,114,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BROMMAT,406,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,BROMMAT 7,240,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,COMBE D'AVRIEUX,123,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,COMBE D'AVRIEUX 1,123,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,CURBANS,139,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,MALGOVERT,297,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,MONTEYNARD,366,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,MONTPEZAT,132,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,ORAISON,188,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,PIED DE BORNE,109,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,POUGET,447,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,POUGET 4,286,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,PRAGNERES,189,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SAINT CHAMAS,159,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SAINT ESTEVE,146,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SAINT GUILLERME,116,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SAINTE CROIX,132,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SARRANS,183,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SERRE PONCON,384,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SISTERON,240,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,SISTERON 1,124,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,SISTERON 2,126,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,ST ETIENNE CANTALES,103,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,VILLARODIN,364,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,VILLARODIN 1,180,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,VILLARODIN 2,180,GENERATING_UNIT

