identifier,start_date,end_date,type,production_type,status,name,installed_capacity,available_capacity,unit_type
EC-EDF-05470-EDF-T-00044032,2020-01-09T07:30:00+01:00,2020-01-11T15:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,CRUAS 2,915,770,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044038,2020-01-09T09:50:00+01:00,2020-01-10T07:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,DAMPIERRE 2,890,380,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044039,2020-01-10T10:00:00+01:00,2020-01-10T12:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,FESSENHEIM 1,880,625,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044062,2020-01-09T14:15:00+01:00,2020-01-10T07:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,BOUCHAIN 7,585,200,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044082,2020-01-09T18:05:00+01:00,2020-01-11T07:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,MARTIGUES PONTEAU 6,465,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044098,2020-01-09T23:00:00+01:00,2020-01-10T07:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,CHINON 1,905,176,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044105,2020-01-10T07:09:00+01:00,2020-01-10T21:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PENLY 1,1330,750,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044111,2020-01-10T07:45:00+01:00,2020-01-10T10:30:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,INACTIVE,CHINON 1,905,370,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044115,2020-01-10T10:00:00+01:00,2020-02-21T20:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,CHOOZ 1,1500,1220,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044143,2020-01-12T01:30:00+01:00,2020-01-12T03:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,CRUAS 3,915,785,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044144,2020-01-12T18:00:00+01:00,2020-01-12T20:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,ST LAURENT 2,915,800,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044154,2020-01-12T08:53:00+01:00,2020-01-12T13:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,NOGENT 1,1310,1160,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044161,2020-01-12T22:00:00+01:00,2020-01-16T21:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,HAVRE 4,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044162,2020-01-13T05:50:00+01:00,2020-01-13T14:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,MARTIGUES PONTEAU 6,465,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044163,2020-01-13T06:48:00+01:00,2020-01-16T21:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,CORDEMAIS 4,580,0,GENERATING_UNIT
